[native][cmd]2020-2-25 17:15:9	stdout:["2020/02/25 17:15:09.528 [I]  ================ serverModel(lesson), IsDevelop(false), IsNative(true) ============
"]
[native][cmd]2020-2-25 17:15:9	stdout:["2020/02/25 17:15:09.554 [I]  nativeData = &{School:测试学校1 Class:20200212 Lesson:开启星球之旅 StageIndex:1 Channel:bian_game StudentNum:10 NativeHost:127.0.0.1 NativePort:8439 TemplateUrl:http://demoapi.wkcoding.com/feature/release.txt LessonData:0xc0002d34a0}
2020/02/25 17:15:09.554 [I]  nativeData.LessonData = &{LessonTemplateId:9020102 DefaultShortcuts:[0 0 0 0 0 0 0 0] SceneId:0 ManorTemplate:0 MapTemplate:67891160030380947 RobotCodeTemplate:0 BuildNumLimit:10000 DefaultBagItems:[11000241:3 11000244:3 21015007:99] DefaultShortcutsv2:[3010093:30 21012007:99 21015001:99 21015002:99 21015003:99 21015004:99 21015005:99 21015006:99] EntityCodeList:0 GuideBoard: IdeEnable:false RobotBlockLibId:0 Tutorial:0xc000048240}
2020/02/25 17:15:09.554 [I]  nativeData.LessonData.Tutorial = &{Name:开启星球之旅（二） Resources:[0xc00009be90 0xc00009bec0 0xc00009bef0 0xc0003ea000] TargetGuide:找到零件，将零件放到传送机附近，修好传送机}
2020/02/25 17:15:09.554 [I]  nativeServerGid = 790
2020/02/25 17:15:09.554 [I]  nativeServerName = s_测试学校1_c_20200212_l_开启星球之旅_n_1
"]
[native][cmd]2020-2-25 17:15:9	stdout:["{\"hostname\":\"WIN-01408111057\",\"message\":\"initializing\",\"mode\":\"develop\",\"server\":\"bian_game\",\"time\":\"2020-02-25T09:15:09.59011Z\",\"version\":\"bian-go1.13-unknown-unknown\"}
"]
[native][cmd]2020-2-25 17:15:9	stdout:["2020/02/25 17:15:09.641 [I]  init flag &{Sid:790 EditMap:false RoomMap:false UseMapTemplate: OssUrl:oss-cn-shanghai.aliyuncs.com MapTemplateId:0 TemplateDNS: ClassDNS: CnfDNS: RoomServerHost: MapTemplateUrl: TestModel:false RoomPassword:0 RedisDNS:}
"]
[native][cmd]2020-2-25 17:15:9	stdout:["2020/02/25 17:15:09.657 [I]  *********************************************************************************************
2020/02/25 17:15:09.657 [I]  --------------  nativeServerChannel = bian_game -----------------------------------
2020/02/25 17:15:09.657 [I]  *********************************************************************************************
2020/02/25 17:15:09.657 [I]  --------------  nativeLessonInfo    = &{GId:790 PackageId:1 ClassID:790 LessonID:1 ActivityId:1 ActivityName: LessonName:s_测试学校1_c_20200212_l_开启星球之旅_n_1 GameHost:192.168.31.21 GamePort:3211 Channel:bian_game BellcodeSecret:<nil> Client_version:304 LessonHost:47.107.73.43 LessonPort:3306 LessonUsername:root LessonPassword:root LessonDatabaseName:lesson_s_测试学校1_c_20200212_l_开启星球之旅_n_1 CfgHost:47.107.73.43 CfgPort:3306 CfgUsername:root CfgPassword:root CfgDatabaseName:bian_cnf TemplateHost:47.107.73.43 TemplatePort:3306 TemplateUsername:root TemplatePassword:root TemplateDatabaseName:bian_template LastPlayTime:0001-01-01 00:00:00 +0000 UTC TemplateUrl:http://demoapi.wkcoding.com/feature/release.txt StudentNum:10 IsTest:0 LessonDsn:0xc000408050 CfgDsn:0xc0004080a0 TemplateDsn:0xc0004080f0 ManorTemplateID:0 MapTemplateID:67891160030380947}
2020/02/25 17:15:09.657 [I]  *********************************************************************************************
2020/02/25 17:15:09.657 [I]  nativeClassInfo   =  {Host:47.107.73.43 Port:3306 Username:root Password:root DatabaseName:bian_class},  classId=790
2020/02/25 17:15:09.657 [I]  *********************************************************************************************
"]
[native][cmd]2020-2-25 17:15:9	stdout:["2020/02/25 17:15:09.765 [I]  LoadConfigs
"]
[native][cmd]2020-2-25 17:15:9	stdout:["2020/02/25 17:15:09.793 [I]  Init Template Url &{LessonTemplateId:1020101 DefaultShortcuts:[] SceneId:1001 ManorTemplate:0 MapTemplate:0 RobotCodeTemplate:0 BuildNumLimit:3000 DefaultBagItems:[] DefaultShortcutsv2:[] EntityCodeList: GuideBoard: IdeEnable:true RobotBlockLibId:0 Tutorial:0xc0004a4240}
2020/02/25 17:15:09.793 [I]  Init Material: []
2020/02/25 17:15:09.793 [I]  Init Shortcut Item: []
2020/02/25 17:15:09.793 [I]  InitTemplateCnf completed.
"]
[native][cmd]2020-2-25 17:15:9	stdout:["2020/02/25 17:15:09.821 [I]  InitGameValueCnf completed.
2020/02/25 17:15:09.821 [I]  InitConstantCnf completed.
2020/02/25 17:15:09.821 [I]  InitMapCnf [0] false
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.447 [I]  InitMapCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.453 [I]  InitAttributeRandCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.458 [I]  InitBuffCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.465 [I]  InitSkillCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.476 [I]  InitSpawnPointsCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.482 [I]  InitPlayerLvCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.491 [I]  InitSceneCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.503 [I]  InitWeatherCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.509 [I]  InitAchieveCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.514 [I]  InitSystemAvatarCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.519 [I]  InitBotLvCnf completed.
"]
[native][cmd]2020-2-25 17:15:10	stdout:["2020/02/25 17:15:10.525 [I]  InitBotCnf completed.
"]
[native][cmd]2020-2-25 17:15:12	stdout:["2020/02/25 17:15:12.345 [I]  InitObjectCnf completed.
"]
[native][cmd]2020-2-25 17:15:12	stdout:["2020/02/25 17:15:12.350 [I]  InitGearSettingsCnf completed.
"]
[native][cmd]2020-2-25 17:15:12	stdout:["2020/02/25 17:15:12.365 [I]  InitFallingRecipetsCnf completed.
"]
[native][cmd]2020-2-25 17:15:12	stdout:["2020/02/25 17:15:12.624 [I]  InitResourcePointsCnf completed.
"]
[native][cmd]2020-2-25 17:15:12	stdout:["2020/02/25 17:15:12.704 [I]  InitMonsterCnf completed.
"]
[native][cmd]2020-2-25 17:15:13	stdout:["2020/02/25 17:15:13.061 [I]  InitNpcCnf completed.
"]
[native][cmd]2020-2-25 17:15:13	stdout:["2020/02/25 17:15:13.066 [I]  InitNpcLocationCnf completed.
"]
[native][cmd]2020-2-25 17:15:13	stdout:["2020/02/25 17:15:13.071 [I]  InitMailTemplateCnf completed.
"]
[native][cmd]2020-2-25 17:15:13	stdout:["2020/02/25 17:15:13.111 [I]  InitRewardCnf completed.
"]
[native][cmd]2020-2-25 17:15:13	stdout:["2020/02/25 17:15:13.434 [I]  InitTaskCnf completed.
"]
[native][cmd]2020-2-25 17:15:13	stdout:["2020/02/25 17:15:13.476 [I]  InitCodeCnf completed.
"]
[native][cmd]2020-2-25 17:15:13	stdout:["2020/02/25 17:15:13.481 [I]  InitFormulaCnf completed.
"]
[native][cmd]2020-2-25 17:15:13	stdout:["2020/02/25 17:15:13.523 [I]  InitSpecialBuildCnf completed.
"]
[native][cmd]2020-2-25 17:15:14	stdout:["2020/02/25 17:15:14.056 [I]  InitConsumableItemCnf completed.
"]
[native][cmd]2020-2-25 17:15:14	stdout:["2020/02/25 17:15:14.061 [I]  InitRoleCnfCnf completed.
"]
[native][cmd]2020-2-25 17:15:14	stdout:["2020/02/25 17:15:14.065 [I]  InitChatCnfCnf completed.
"]
[native][cmd]2020-2-25 17:15:14	stdout:["2020/02/25 17:15:14.070 [I]  InitConditionCnfCnf completed.
"]
[native][cmd]2020-2-25 17:15:14	stdout:["2020/02/25 17:15:14.075 [I]  InitCdCnfCnf completed.
"]
[native][cmd]2020-2-25 17:15:14	stdout:["2020/02/25 17:15:14.079 [I]  InitQuotaCnfCnf completed.
"]
[native][cmd]2020-2-25 17:15:14	stdout:["2020/02/25 17:15:14.084 [I]  InitPlayerBuyCnfCnf completed.
"]
[native][cmd]2020-2-25 17:15:14	stdout:["2020/02/25 17:15:14.089 [I]  InitwidgetCnfCnf completed.
"]
[native][cmd]2020-2-25 17:15:15	cmd --> command:taskkill /im game.exe /f cwd:null
